Column1,Column2,Column3
-204.5916883,-552.912019,20.76265253
-204.7086172,-553.9097909,20.71264675
-204.8247542,-554.9070181,20.66267248
-204.9400906,-555.9036423,20.61273261
-205.0546173,-556.8996054,20.56283006
-205.1683256,-557.8948491,20.51296772
-205.2812065,-558.8893153,20.4631485
-205.3998157,-559.9413671,20.41044896
-205.5174768,-560.9924128,20.35780446
-205.6341792,-562.0423833,20.30521844
-205.7499123,-563.0912094,20.25269435
-205.8646656,-564.138822,20.20023563
-205.9784284,-565.1851521,20.14784573
-206.0911903,-566.2301304,20.09552808
-206.2029407,-567.273688,20.04328613
-206.3136689,-568.3157557,19.99112332
-206.4233645,-569.3562644,19.93904309
-206.5320169,-570.3951449,19.88704889
-206.6396154,-571.4323283,19.83514414
-206.7461496,-572.4677453,19.7833323
-206.8516088,-573.5013269,19.7316168
-206.9559826,-574.5330039,19.68000108
-207.0592602,-575.5627073,19.62848857
-207.1614313,-576.5903679,19.57708271
-207.2624851,-577.6159167,19.52578694
-207.3624112,-578.6392845,19.4746047
-207.4611989,-579.6604022,19.42353941
-207.5588377,-580.6792007,19.37259452
-207.6553171,-581.695611,19.32177345
-207.7506264,-582.7095638,19.27107963
-207.8447551,-583.7209901,19.22051651
-207.9376927,-584.7298209,19.1700875
-208.0294285,-585.7359869,19.11979604
-208.119952,-586.739419,19.06964555
-208.2092527,-587.7400483,19.01963947
-208.2973199,-588.7378055,18.96978121
-208.38893,-589.7878014,18.91731722
-208.4791416,-590.8344391,18.86502578
-208.5679422,-591.8776372,18.81291092
-208.6553195,-592.9173144,18.76097666
-208.7412611,-593.9533896,18.70922703
-208.8257544,-594.9857813,18.65766605
-208.9087872,-596.0144083,18.60629774
-208.9903468,-597.0391893,18.55512612
-209.070421,-598.0600432,18.50415519
-209.1489973,-599.0768885,18.45338899
-209.2260633,-600.089644,18.40283151
-209.3016065,-601.0982284,18.35248677
-209.3756145,-602.1025605,18.30235878
-209.4480749,-603.102559,18.25245155
-209.5226635,-604.1504179,18.2001605
-209.5955089,-605.1932901,18.14812317
-209.6665968,-606.2310809,18.09634421
-209.7359126,-607.2636954,18.04482828
-209.8034419,-608.2910389,17.99358005
-209.8691701,-609.3130166,17.94260417
-209.9330827,-610.3295336,17.89190529
-209.9951654,-611.3404951,17.84148805
-210.0554035,-612.3458065,17.79135711
-210.1137826,-613.3453728,17.74151711
-210.173064,-614.3886306,17.6895033
-210.230263,-615.4253402,17.63782072
-210.285363,-616.455392,17.58647473
-210.338347,-617.4786762,17.53547068
-210.3891984,-618.4950829,17.48481392
-210.4379003,-619.5045026,17.43450979
-210.484436,-620.5068254,17.38456362
-210.530846,-621.5491465,17.3326288
-210.5748408,-622.5834321,17.28109881
